Origin,Dest,n,ontime,med_arr,mean_dist,cluster
SAN,DFW,53,0.7547169811320755,-5.0,1171.0,0
SAN,LAS,92,0.8369565217391304,-8.0,258.0,2
SAN,OAK,61,0.8688524590163934,-5.0,446.0,2
SAN,PHX,95,0.8421052631578947,-3.0,304.0,2
SAN,SEA,73,0.8493150684931507,-8.0,1050.0,2
SAN,SFO,78,0.6282051282051282,4.5,447.0,0
SAN,SJC,80,0.8875,-8.0,417.0,2
SAN,SMF,71,0.7605633802816901,-4.0,480.0,0
SAT,DFW,53,0.7547169811320755,-1.0,247.0,0
SDF,ATL,52,0.8653846153846154,-15.0,321.0,2
SEA,ANC,89,0.752808988764045,-1.0,1448.0,0
SEA,DEN,101,0.7623762376237624,-4.0,1024.0,0
SEA,DFW,53,0.679245283018868,-1.0,1660.0,0
SEA,GEG,69,0.782608695652174,-4.0,224.0,0
SEA,HNL,52,0.75,-7.0,2677.0,1
SEA,LAS,94,0.8404255319148937,-4.0,867.0,2
SEA,LAX,103,0.8640776699029127,-7.0,954.0,2
SEA,ORD,59,0.728813559322034,0.0,1721.0,0
SEA,PDX,69,0.8260869565217391,-3.0,129.0,2
SEA,PHX,102,0.803921568627451,-7.5,1107.0,2
SEA,SAN,61,0.7868852459016393,-2.0,1050.0,0
SEA,SFO,85,0.7411764705882353,-5.0,679.0,0
SEA,SJC,53,0.7169811320754718,-3.0,696.0,0
SEA,SLC,58,0.8793103448275862,-11.0,689.0,2
SEA,SMF,65,0.8153846153846154,-8.0,605.0,2
SEA,SNA,53,0.8679245283018868,-3.0,978.0,2
SFO,BOS,56,0.8392857142857143,-16.0,2704.0,1
SFO,BUR,55,0.7272727272727273,-7.0,326.0,0
SFO,DEN,77,0.7922077922077921,-8.0,967.0,2
SFO,DFW,51,0.7058823529411764,-4.0,1464.0,0
SFO,EWR,67,0.7462686567164178,-7.0,2565.0,1
SFO,JFK,86,0.8488372093023255,-12.0,2586.0,1
SFO,LAS,69,0.6811594202898551,2.0,414.0,0
SFO,LAX,134,0.6940298507462687,-4.5,337.0,0
SFO,ORD,64,0.90625,-9.5,1846.0,1
SFO,PDX,55,0.7636363636363637,-2.0,550.0,0
SFO,PHX,71,0.7464788732394366,-7.0,651.0,0
SFO,SAN,94,0.6808510638297872,-1.0,447.0,0
SFO,SEA,92,0.7934782608695652,-5.0,679.0,0
SFO,SNA,67,0.835820895522388,-5.0,372.0,2
SJC,DEN,54,0.9444444444444444,-11.0,948.0,2
SJC,LAX,78,0.9102564102564102,-11.0,308.0,2
SJC,SAN,77,0.7922077922077921,-2.0,417.0,0
SJC,SEA,61,0.8852459016393442,-8.0,696.0,2
SJU,JFK,58,0.7931034482758621,-11.0,1598.0,1
SJU,MCO,100,0.81,-7.5,1189.0,2
SLC,DEN,116,0.8017241379310345,-9.5,391.0,2
SLC,DFW,64,0.8125,-3.5,989.0,0
SLC,LAS,59,0.7627118644067796,4.0,368.0,0
SLC,LAX,61,0.8524590163934427,-7.0,590.0,2
SLC,PHX,74,0.8243243243243243,-7.5,507.0,2
SLC,SEA,55,0.9090909090909091,-10.0,689.0,2
SMF,LAS,82,0.8536585365853658,-7.0,397.0,2
SMF,LAX,78,0.9743589743589743,-13.0,373.0,2
SMF,PHX,63,0.8571428571428572,-9.0,647.0,2
SMF,SAN,71,0.7746478873239436,-3.0,480.0,0
SMF,SEA,66,0.8787878787878788,-11.0,605.0,2
SNA,LAS,59,0.847457627118644,-8.0,226.0,2
SNA,PHX,52,0.8461538461538461,-8.0,338.0,2
SNA,SEA,54,0.7962962962962963,-7.0,978.0,2
SNA,SFO,66,0.6666666666666667,2.0,372.0,0
STL,DEN,55,0.8181818181818181,-10.0,770.0,2
STL,LGA,59,0.9322033898305084,-13.0,888.0,2
TPA,ATL,107,0.7476635514018692,-3.0,406.0,0
TPA,DEN,51,0.8235294117647058,-9.0,1506.0,1
TPA,ORD,52,0.8653846153846154,-12.0,1012.0,2
TUS,PHX,50,0.88,-8.0,110.0,2
