FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-24,CLT,DTW,DL,0,0.04906763353607568
2025-04-27,ECP,ATL,DL,0,0.2951871332750937
2025-04-21,DFW,MSO,MQ,0,0.046064985742158185
2025-04-24,TUS,DEN,UA,1,0.02231397078454556
2025-04-27,ATL,DEN,F9,1,0.36666666666666664
2025-04-05,ORD,SRQ,UA,0,0.056666666666666664
2025-04-02,DEN,BOS,UA,0,0.043333333333333335
2025-04-05,DEN,BUR,WN,0,0.42788670916262683
2025-04-19,MDW,CMH,WN,1,0.12333333333333334
2025-04-06,FLL,RDU,NK,0,0.39837895652670374
2025-04-23,ACV,LAX,OO,0,0.016666666666666666
2025-04-02,MHT,MCO,WN,1,0.44966931446058417
2025-04-29,BOS,MSY,NK,0,0.056666666666666664
2025-04-02,CLE,BOS,YX,1,0.02666666666666667
2025-04-02,MEM,LGA,YX,0,0.013333333333333334
2025-04-14,IAD,IND,YX,1,0.03
2025-04-29,ORD,SRQ,AA,1,0.05957319961887119
2025-04-09,DEN,TUS,OO,0,0.11440317794335046
2025-04-25,BWI,IAH,UA,0,0.35623986628553783
2025-04-11,TVC,DTW,OO,0,0.49666666666666665
2025-04-21,OKC,SEA,AS,0,0.4066666666666667
2025-04-16,DCA,RSW,AA,0,0.2866666666666667
2025-04-09,ORD,FSD,MQ,0,0.19273165240882487
2025-04-21,SFO,LAX,UA,0,0.58
2025-04-25,SAN,ATL,DL,0,0.04
2025-04-13,PDX,SMF,OO,0,0.31461882281224157
2025-04-17,DCA,PWM,YX,1,0.06666666666666667
2025-04-21,BWI,SLC,WN,0,0.06898063745121223
2025-04-16,SNA,PHX,WN,0,0.10666666666666667
2025-04-01,SMF,SAN,WN,0,0.3333333333333333
2025-04-13,TYS,DFW,AA,0,0.15666666666666668
2025-04-03,SEA,LAX,OO,0,0.2827316524088248
2025-04-29,SEA,ORD,DL,1,0.29939831907549147
2025-04-02,MIA,ATL,NK,0,0.2460649857421582
2025-04-25,ORD,SEA,DL,1,0.16666666666666666
2025-04-11,DTW,BNA,DL,0,0.05231397078454556
2025-04-24,SJU,PHL,F9,0,0.22939831907549155
2025-04-09,ORD,CMH,YX,0,0.2733333333333333
2025-04-24,DFW,PHL,AA,0,0.08
2025-04-09,PDX,ORD,AS,0,0.045647304117878894
2025-04-27,MEM,ATL,DL,0,0.07
2025-04-11,FAR,LAS,G4,0,0.023333333333333334
2025-04-01,SFB,IND,G4,1,0.44666666666666666
2025-04-15,TPA,CLT,AA,0,0.22852997252123466
2025-04-29,ORD,ROC,MQ,0,0.31546330481764967
2025-04-18,GJT,DEN,OO,0,0.01
2025-04-03,SAN,SEA,AS,0,0.5533333333333333
2025-04-02,CVG,PHL,OH,1,0.18666666666666668
2025-04-01,SLC,LAS,WN,0,0.2411106089355286
2025-04-07,PHX,OAK,WN,1,0.37
2025-04-24,AGS,DCA,OH,0,0.05
2025-04-11,EWR,STL,YX,0,0.24176764037623855
2025-04-14,RSW,ATL,DL,1,0.21666666666666667
2025-04-05,IND,RSW,WN,1,0.24666666666666667
2025-04-29,EWR,PHX,UA,0,0.3333333333333333
2025-04-28,BOS,DCA,YX,0,0.09666666666666666
2025-04-21,PHL,CHS,F9,1,0.24666666666666667
2025-04-15,HNL,KOA,WN,0,0.14584934087326704
2025-04-15,GPT,DFW,MQ,0,0.05623986628553787
2025-04-07,HNL,ITO,HA,0,0.32
2025-04-10,LAS,OAK,WN,0,0.4666666666666667
2025-04-24,ORD,EWR,NK,1,0.19
2025-04-01,LBB,DFW,AA,0,0.18290653295220455
2025-04-15,PHL,SEA,AS,0,0.28273165240882486
2025-04-05,IAH,ATL,DL,0,0.10606498574215818
2025-04-14,EWR,BOS,UA,0,0.10939831907549151
2025-04-08,LAX,STL,WN,0,0.006666666666666667
2025-04-11,DCA,MSP,DL,1,0.08
2025-04-08,SLC,MIA,AA,0,0.21333333333333335
2025-04-21,DEN,CPR,OO,0,0.06666666666666667
2025-04-28,PSC,SEA,OO,0,0.17333333333333334
2025-04-11,AUS,ATL,DL,0,0.48
2025-04-11,HOU,FLL,WN,0,0.08
2025-04-26,MDW,LAS,WN,0,0.05333333333333334
2025-04-15,GEG,DEN,WN,0,0.023333333333333334
2025-04-09,MCO,LGA,DL,0,0.06333333333333334
2025-04-19,TYS,PHL,OH,0,0.2966666666666667
2025-04-17,SLC,PHX,WN,0,0.09666666666666666
2025-04-19,ATL,ORF,DL,0,0.21
2025-04-25,LAX,MIA,AA,0,0.09333333333333334
2025-04-09,BNA,DAL,WN,0,0.05333333333333334
2025-04-15,SAN,SEA,AS,0,0.37333333333333335
2025-04-21,DTW,SFO,DL,0,0.4266666666666667
2025-04-25,LIT,ATL,DL,0,0.055647304117878896
2025-04-29,PHX,PAE,AS,0,0.05333333333333334
2025-04-12,LAS,ORD,AA,0,0.32666666666666666
2025-04-08,SAN,SEA,AS,0,0.17333333333333334
2025-04-01,FLL,ATW,G4,0,0.09333333333333334
2025-04-14,CLT,DAY,OH,0,0.07231397078454556
2025-04-14,DEN,LAR,OO,0,0.24
2025-04-26,PHX,STL,WN,0,0.02666666666666667
2025-04-08,CMH,DAL,WN,0,0.37666666666666665
2025-04-25,BDL,PBI,B6,0,0.3933333333333333
2025-04-23,DFW,PHL,AA,0,0.23250552354993909
2025-04-02,RIC,BOS,B6,0,0.18396649944345214
2025-04-29,MIA,EWR,UA,0,0.08
2025-04-23,SEA,PSP,AS,0,0.10333333333333333
2025-04-21,BUF,ATL,DL,0,0.3233333333333333
2025-04-07,PHL,CLT,AA,0,0.01231397078454556
2025-04-25,ORD,AUS,UA,0,0.07
2025-04-16,DCA,LAX,AA,0,0.15231397078454556
2025-04-18,LAX,BOI,OO,0,0.07333333333333333
2025-04-20,MCO,MSP,DL,0,0.06273165240882485
2025-04-11,BUR,SMF,WN,0,0.13
2025-04-14,SFO,SNA,UA,0,0.07666666666666666
2025-04-03,ATL,DEN,DL,1,0.33666666666666667
2025-04-24,MYR,BWI,WN,1,0.043333333333333335
2025-04-24,EWR,PDX,UA,1,0.059859354060103426
2025-04-24,PIT,ATL,DL,1,0.1556473041178789
2025-04-03,BOS,CMH,YX,1,0.09666666666666666
2025-04-02,MLU,DFW,MQ,0,0.17273165240882488
2025-04-30,ORD,ROA,OO,0,0.22230485202769604
2025-04-17,SEA,LAX,AS,0,0.56
2025-04-21,SJU,RDU,F9,1,0.2833333333333333
2025-04-13,EWR,SYR,YX,0,0.21879663815098302
2025-04-14,ATL,LGA,DL,0,0.05
2025-04-29,SLC,LAS,WN,0,0.21444394226886193
2025-04-06,SJC,DFW,AA,0,0.03666666666666667
2025-04-13,CLT,MCO,AA,1,0.24333333333333335
2025-04-07,MSY,MIA,AA,0,0.013333333333333334
2025-04-11,ATL,MDW,WN,1,0.16
2025-04-30,DEN,EWR,UA,1,0.36333333333333334
2025-04-19,LAS,JFK,B6,1,0.31666666666666665
2025-04-22,AVL,BOS,G4,0,0.3218189415443973
2025-04-10,DFW,MCO,AA,0,0.182284121852423
2025-04-21,CLT,ABE,OH,1,0.037131597435683436
2025-04-08,LAX,EWR,UA,0,0.14333333333333334
2025-04-09,MDW,SDF,WN,0,0.05
2025-04-02,TPA,IAD,UA,0,0.06504562319337041
2025-04-10,DAL,STL,WN,0,0.08333333333333333
2025-04-16,SEA,PHX,AS,0,0.25666666666666665
2025-04-29,MDW,LGA,WN,1,0.37666666666666665
2025-04-06,ORD,MCI,MQ,0,0.21606498574215816
2025-04-05,MCO,DEN,UA,1,0.15
2025-04-08,DEN,MEM,UA,0,0.07231397078454556
2025-04-26,SFO,PSP,OO,0,0.4033333333333333
2025-04-01,FLL,LAX,DL,1,0.19333333333333333
2025-04-17,LAX,MIA,AA,0,0.08333333333333333
2025-04-01,ONT,AUS,WN,0,0.02
2025-04-23,CLT,PDX,AA,0,0.03333333333333333
2025-04-09,BOS,LGA,B6,0,0.13666666666666666
2025-04-22,PHX,SEA,AS,0,0.13666666666666666
2025-04-04,MDW,ELP,WN,0,0.023333333333333334
2025-04-29,CLT,DCA,AA,0,0.17
2025-04-14,LGA,ATL,DL,0,0.08439318979909044
2025-04-21,LAX,SMF,OO,0,0.15
2025-04-16,DEN,OKC,OO,1,0.2866666666666667
2025-04-08,SFO,RDU,UA,0,0.04666666666666667
2025-04-05,SNA,SEA,AS,0,0.12666666666666668
2025-04-04,DCA,ATL,DL,1,0.11231397078454557
2025-04-16,SFO,BUR,UA,0,0.19273165240882487
2025-04-29,DFW,BHM,MQ,0,0.19666666666666666
2025-04-25,HNL,LIH,HA,0,0.11666666666666667
2025-04-21,DFW,TYS,AA,0,0.12666666666666668
2025-04-08,PHX,BWI,WN,0,0.04666666666666667
2025-04-14,OAK,SAN,WN,0,0.2227316524088248
2025-04-03,CLE,DFW,AA,0,0.14606498574215818
2025-04-05,PHL,RSW,AA,1,0.38666666666666666
2025-04-09,EWR,ORD,UA,0,0.22333333333333333
2025-04-25,BIL,LAS,G4,0,0.8366666666666667
2025-04-11,PHX,IDA,OO,1,0.016666666666666666
2025-04-28,ORD,LIT,OO,0,0.16966931446058414
2025-04-07,ELP,PHX,MQ,0,0.07300264779391749
2025-04-20,SMF,LAS,WN,0,0.09666666666666666
2025-04-30,PHX,EUG,AA,0,0.31
